Variable ,Label,Description ,Type,Citation
Emo_tscore ,Anxiety ,"PROMIS Emotional Distress Anxiety (Short Form 8a) - 8 items measuring emotional distress and anxiety (panic, fearfulness, worry, dread, tension,nervousness, restlessness, and somatic symptoms including racing heart and dizziness) in the last 7 days. This instrument generates T-scores, which are standard scores with a mean of 50 and standard deviation of 10 in the U.S. general population. Higher T-scores indicate worse distress and anxiety. T-scores range from 10 to 90.",Numeric,"Pilkonis, P.A. et al. (2011) Item banks for measureing emotional distress from the patient-reported outcomes measurement information system (PROMIS): Depression, Anxiety, and Anger, Assesssment, 18(3), 263-283"
bdito,Depression,"The Beck Depression Inventory-II - 21-items measuring severity of depression (i.e., grief, loss, flat affect, withdrawal, mania) over a two-week period. Scores range from 0 to 63, where high scores indicate higher levels or more severe depression.",Numeric,"Beck, A.T. et al. (1996) Beck Depression Inventory-II. San Antonio: The Psychological Corporation"
FAT_tscore,Fatigue ,"PROMIS Fatigue (Short Form 8a) - 8 items measuring the experience of fatigue and the interference of fatigue on daily activities over the past 7 days. This instrument generates T-scores, which are standard scores with a mean of 50 and standard deviation of 10 in the U.S. general population. Higher T-scores indicate worse fatigue. T-scores range from 10 to 90.",Numeric,"Cell, D. et al. (2016) PROMIS fatigue item bank had clinical validity across diverse chronic conditions. Journal of Clinical Epidemiology, 73, 128-134"
paohcif,Cognitive function ,"Patient assessment of own cognitive functioning - 33 items measuring self-reported 'recent' cognitive function consisting of 5 dimensions: memory, language and communication, use of hands, sensory-perceptual, higher level cognitive and intellectual functioning. Higher scores indicate worse perceived cognitive functioning. Scores range from 0 to 155.",Numeric,"Chelune, G. J. et al. (1986) Neuropsychological and personality correlates of patients' complaints of disability. Advances in clinical Neuropsychology, 1986:95-126"
EPSscore,Sleepiness ,Epworth Sleepiness Scale - 8 item scale measuring self-reported 'recent' daytime sleepiness. Higher score indicate greater daytime sleepiness. Scores range from 0 to 24.,Numeric,Johns MW. A new method for measuring daytime sleepiness: The Epworth Sleepiness Scale. Sleep 1991; 14(6):540-5
pain,Pain,"Brief Pain Inventory (Short Form) - 9 items a widely used clinical tool for assessing pain (worst pain in the last 24 hours [0-10], least pain in the last 24 hours [0-10], pain on average [0-10], paing at the time of the interview [0-10], pain relief from treatment(s) in the last 24 hours [0%-100%]). Higher scores indicate higher levels of pain, each item ranges from 0-10.",Numeric,"Cleeland, C.S. et al. (2009). Pain assessment: Global use of the Brief Pain Inventory. Annals, Academy of Medicine, Sigapore, 23(2), 129-138."
rs4880,Variant 1,"SOD2 gene, hg19 postion chr6: 160113872",Numeric,
rs5746136,Variant 2,"SOD2 gene, hg19 postiion chr6: 160103084",Numeric,
rs1041740,Variant 3,"SOD1 gene, hg19 postiion chr21: 33040162",Numeric,
rs10432782,Variant 4,"SOD1 gene, hg19 postiion chr21: 33036391",Numeric,
rs4135225,Variant 5,"TXN gene, hg19 postiion chr9: 113006691 ",Numeric,
rs7522705,Variant 6,"PRDX1 gene, hg19 postiion chr1: 45992300 ",Numeric,
race,Race ,"Self-identified race, 0=White, 1=Black ","Numeric, encoded value",
age,Age,Age in years,Numeric ,
education ,Education ,Self-reported years of education ,Numeric ,
